                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     83,                0.83172,                0.41118,                0.84103,                0.98798,                0.96667,                0.98393,                0.65292,                 1.3133,                0.52087,                0.97326,              0.0003962,              0.0003962,              0.0003962
                     84,                0.81308,                0.40677,                0.84072,                0.98875,                0.97691,                0.98305,                0.64864,                 1.3255,                0.51824,                 0.9822,              0.0003764,              0.0003764,              0.0003764
                     85,                0.83289,                0.40647,                0.85316,                0.98561,                0.97778,                0.98374,                0.66057,                 1.3035,                0.51646,                0.98304,              0.0003566,              0.0003566,              0.0003566
                     86,                0.82909,                0.42849,                 0.8291,                0.97776,                0.97717,                0.98532,                0.65457,                 1.3131,                 0.5297,                0.97895,              0.0003368,              0.0003368,              0.0003368
                     87,                0.82621,                0.40002,                0.84492,                0.98737,                0.96667,                0.98508,                0.65188,                 1.3017,                0.55014,                0.96877,               0.000317,               0.000317,               0.000317
                     88,                0.77351,                0.39362,                0.82872,                0.98711,                0.96667,                0.98553,                0.65099,                  1.326,                0.54533,                 0.9727,              0.0002972,              0.0002972,              0.0002972
                     89,                0.78093,                0.39168,                0.83533,                0.98759,                0.96667,                0.98441,                0.65276,                  1.328,                  0.553,                 0.9744,              0.0002774,              0.0002774,              0.0002774
                     90,                0.75617,                0.37598,                0.81478,                0.98754,                0.96667,                0.98594,                0.66398,                 1.3342,                0.54842,                0.97802,              0.0002576,              0.0002576,              0.0002576
                     91,                0.82897,                0.39601,                0.84312,                0.98875,                0.97645,                0.98622,                0.66709,                 1.3328,                0.54508,                0.97644,              0.0002378,              0.0002378,              0.0002378
                     92,                0.75485,                 0.3804,                0.82226,                0.98874,                0.97606,                0.98616,                0.66435,                  1.324,                0.53599,                0.97782,               0.000218,               0.000218,               0.000218
                     93,                0.82215,                0.39325,                0.85134,                0.98874,                0.97568,                0.98623,                0.66228,                 1.2994,                 0.5228,                0.97479,              0.0001982,              0.0001982,              0.0001982
                     94,                0.76593,                0.37738,                0.83835,                0.98768,                0.97778,                 0.9862,                0.66572,                 1.2947,                0.51671,                 0.9727,              0.0001784,              0.0001784,              0.0001784
                     95,                 0.7707,                0.37532,                0.83783,                0.98875,                0.97634,                0.98648,                0.66457,                  1.305,                0.52715,                0.97361,              0.0001586,              0.0001586,              0.0001586
                     96,                0.81227,                0.40422,                0.84629,                0.98874,                0.97607,                0.98651,                0.65704,                 1.3041,                0.52659,                0.97244,              0.0001388,              0.0001388,              0.0001388
                     97,                0.77069,                0.38426,                0.82957,                0.98875,                0.97657,                 0.9864,                0.65838,                 1.3003,                0.52217,                0.97091,               0.000119,               0.000119,               0.000119
                     98,                0.76981,                0.39014,                0.82544,                0.98876,                0.97705,                0.98609,                0.65484,                 1.2996,                 0.5262,                0.97172,               9.92e-05,               9.92e-05,               9.92e-05
                     99,                  0.734,                 0.3781,                0.81975,                0.98825,                0.97778,                0.98573,                0.65277,                 1.3011,                0.52143,                0.97161,               7.94e-05,               7.94e-05,               7.94e-05
                    100,                0.79135,                0.39491,                0.83157,                 0.9877,                0.97778,                0.98551,                0.65867,                 1.3068,                0.52287,                0.97441,               5.96e-05,               5.96e-05,               5.96e-05
